"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Honduran","1,277,297","±24,318","6,059","±1,036","585","±368","7,489","±1,732","5,326","±1,210","111,891","±5,758","11,101","±2,009","11,640","±1,883","2,370","±1,116","2,436","±750","159,801","±7,110","41,229","±3,037","578","±257","707","±337","22,865","±2,839","16,574","±2,419","5,515","±1,019","5,763","±1,177","7,412","±1,476","74,329","±4,633","408","±185","47,662","±4,244","20,561","±2,125","7,298","±1,249","8,493","±1,233","7,383","±1,419","9,474","±1,720","516","±277","4,932","±1,022","8,355","±1,383","1,899","±742","65,211","±4,631","1,442","±525","90,584","±5,189","81,812","±5,013","249","±112","12,641","±1,617","8,601","±1,203","2,946","±793","19,118","±3,153","1,483","±647","21,805","±2,243","767","±338","35,935","±3,336","238,720","±10,331","5,031","±1,231","84","±69","61,743","±4,176","12,962","±1,976","738","±355","4,727","±1,060","47","±60","489","±229"
"            Nicaraguan","520,566","±11,870","772","±245","258","±175","5,525","±1,558","911","±478","125,709","±5,479","4,359","±908","3,520","±1,221","150","±140","851","±318","174,302","±6,890","11,685","±2,022","259","±158","536","±236","5,201","±1,063","4,327","±1,076","1,096","±394","1,829","±800","883","±393","10,643","±1,278","229","±162","13,088","±1,758","3,620","±895","2,162","±625","3,743","±954","1,276","±447","1,506","±446","393","±216","1,329","±465","8,656","±1,499","602","±401","11,886","±1,654","744","±396","17,035","±2,237","10,327","±1,683","240","±196","4,003","±1,117","1,813","±689","3,080","±790","4,697","±1,123","514","±460","3,518","±1,008","720","±319","3,802","±955","42,941","±3,338","1,687","±526","289","±142","11,921","±1,477","4,563","±1,004","135","±101","7,114","±1,230","117","±87","317","±175"
"            Panamanian","246,735","±8,016","2,556","±607","825","±386","3,714","±711","1,402","±420","23,245","±2,242","3,728","±832","2,374","±615","890","±356","780","±345","43,146","±3,069","12,640","±1,544","342","±151","429","±223","4,403","±873","2,316","±693","800","±247","1,109","±372","2,361","±555","1,652","±412","336","±139","8,422","±1,459","3,057","±654","2,254","±604","1,255","±336","879","±283","1,962","±476","228","±137","748","±360","3,220","±835","246","±143","7,915","±1,045","570","±315","32,708","±2,149","8,724","±1,096","371","±233","3,888","±803","1,439","±297","2,384","±614","6,172","±1,067","536","±263","4,533","±930","192","±159","3,917","±998","22,052","±2,004","1,162","±439","101","±83","11,640","±1,283","4,984","±945","446","±301","1,429","±370","253","±140","1,037","±293"
"            Salvadoran","2,583,416","±25,248","5,645","±1,008","814","±360","22,310","±2,119","26,546","±2,392","785,206","±12,798","19,044","±2,109","12,583","±1,332","2,452","±809","18,098","±2,163","88,245","±4,824","55,786","±4,197","1,802","±671","3,404","±931","21,409","±2,235","17,930","±2,000","10,667","±1,353","9,579","±1,371","2,852","±631","10,264","±1,351","798","±348","219,307","±7,746","77,108","±5,212","6,532","±1,024","14,670","±1,712","1,674","±515","10,618","±1,558","382","±207","11,341","±1,533","48,524","±2,975","1,761","±496","88,450","±5,607","3,920","±883","208,718","±9,271","69,893","±5,008","711","±287","16,958","±2,493","7,474","±1,136","10,071","±1,397","17,295","±1,900","4,313","±1,221","8,662","±1,452","3,145","±886","18,642","±2,502","377,336","±11,029","16,743","±2,211","307","±141","187,301","±7,118","30,113","±2,911","2,207","±511","3,409","±709","397","±242","583","±225"
"            Other Central American","30,024","±2,684","357","±233","18","±25","315","±206","0","±31","8,792","±1,292","291","±189","387","±263","0","±30","389","±276","2,321","±736","161","±155","10","±17","42","±43","465","±377","625","±615","78","±54","204","±281","56","±94","2,003","±672","32","±50","564","±220","2,546","±851","38","±42","162","±113","113","±163","102","±109","0","±27","0","±24","473","±250","0","±29","752","±326","134","±192","1,653","±527","733","±556","129","±186","217","±154","262","±193","72","±62","474","±441","67","±98","119","±96","0","±24","233","±206","3,189","±1,017","62","±73","0","±24","968","±495","387","±202","0","±30","29","±22","0","±30","0","±36"
"        South American:","4,909,250","±37,985","15,779","±1,601","3,874","±952","39,962","±2,409","6,399","±1,124","438,620","±8,782","58,062","±3,406","127,732","±4,603","8,540","±1,151","16,184","±1,438","1,242,356","±16,215","126,823","±5,576","6,897","±939","10,749","±1,572","129,348","±4,968","32,230","±2,819","7,029","±1,009","12,453","±1,130","12,028","±1,206","13,887","±1,509","4,164","±615","102,664","±4,397","107,979","±5,202","27,340","±2,274","39,719","±3,040","5,485","±902","17,443","±1,449","3,064","±580","7,768","±1,320","33,700","±2,413","7,186","±951","496,600","±9,760","9,863","±1,154","688,661","±10,804","103,545","±4,659","2,304","±640","40,547","±2,628","17,336","±1,481","21,923","±1,952","97,373","±4,702","21,800","±2,306","45,296","±2,956","1,521","±373","37,468","±2,611","350,933","±11,226","68,024","±3,859","2,658","±464","157,215","±5,496","49,927","±3,045","3,808","±686","24,832","±1,731","2,152","±526","14,921","±1,598"
"            Argentinean","320,296","±8,360","868","±303","216","±178","4,367","±903","626","±287","52,295","±2,899","5,771","±1,032","6,918","±1,051","923","±436","1,979","±411","77,897","±4,163","5,767","±1,252","1,112","±466","676","±229","8,089","±1,232","2,487","±661","353","±148","1,801","±664","957","±366","808","±292","440","±210","7,848","±1,184","5,298","±726","2,967","±608","1,695","±394","82","±57","1,274","±381","524","±223","420","±178","4,933","±1,079","423","±214","19,839","±2,079","745","±338","28,334","±2,200","6,541","±1,031","76","±61","3,193","±565","930","±320","1,993","±425","7,223","±861","416","±172","2,529","±612","70","±65","2,361","±687","22,018","±1,899","7,310","±1,237","166","±115","9,452","±1,214","4,288","±678","301","±197","2,647","±729","50","±49","1,090","±355"
"            Bolivian","139,552","±5,048","199","±111","155","±125","1,091","±316","205","±124","17,658","±1,397","1,196","±408","1,313","±453","191","±113","773","±269","15,795","±1,951","1,785","±515","45","±54","73","±45","2,994","±652","1,034","±435","174","±119","374","±244","204","±141","471","±213","172","±118","12,439","±1,586","1,938","±478","816","±325","802","±232","107","±128","802","±357","199","±153","290","±182","1,018","±395","28","±35","6,085","±1,168","436","±259","8,629","±1,218","1,412","±457","0","±24","890","±331","430","±198","512","±331","1,388","±388","2,496","±743","1,402","±453","16","±17","733","±328","7,165","±1,383","2,137","±677","171","±131","38,852","±2,803","1,480","±435","109","±72","801","±386","67","±69","132","±79"
"            Chilean","210,247","±6,438","1,510","±550","196","±114","2,978","±1,052","444","±298","32,370","±2,627","4,700","±849","4,099","±954","1,090","±568","1,266","±362","33,366","±2,170","4,068","±873","800","±299","833","±325","5,599","±877","1,421","±567","620","±256","272","±161","613","±315","1,116","±447","256","±110","6,108","±1,037","4,533","±718","1,545","±424","2,013","±567","259","±218","1,346","±335","261","±233","1,045","±525","2,636","±571","342","±188","11,311","±1,464","1,258","±438","23,549","±2,386","5,962","±1,017","321","±323","2,623","±542","624","±243","2,698","±605","5,050","±818","326","±169","1,510","±540","265","±159","1,263","±367","14,005","±2,075","7,871","±1,156","258","±183","6,158","±952","5,930","±969","197","±127","1,199","±358","164","±184","628","±376"
"            Colombian","1,563,695","±19,041","5,383","±1,137","1,636","±639","13,199","±1,311","1,797","±455","123,528","±5,560","15,771","±1,820","32,267","±2,719","2,362","±676","5,060","±882","474,813","±10,753","47,265","±3,452","1,551","±318","3,729","±941","36,338","±2,454","7,564","±1,291","2,662","±614","2,866","±584","3,817","±662","5,174","±780","1,079","±294","24,003","±2,447","45,619","±3,459","9,273","±1,333","8,332","±959","1,604","±421","6,008","±859","835","±363","2,551","±522","9,793","±1,336","3,622","±897","156,892","±5,469","3,343","±613","186,996","±6,340","40,883","±2,801","1,015","±519","11,604","±1,512","4,583","±793","5,807","±892","33,273","±2,885","12,876","±1,710","21,797","±2,114","703","±291","9,968","±1,326","108,851","±5,117","10,914","±1,405","835","±248","28,619","±2,287","15,340","±2,071","912","±332","8,441","±1,129","542","±252","5,216","±809"
