"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Ecuadorian","910,779","±16,252","1,475","±556","677","±410","4,296","±812","479","±199","50,816","±2,890","3,675","±663","48,566","±3,880","1,313","±546","1,644","±474","93,699","±4,548","8,885","±1,151","709","±274","829","±289","36,496","±3,409","2,336","±638","1,104","±442","1,691","±472","764","±346","1,975","±582","872","±425","12,584","±1,806","23,109","±2,639","2,718","±580","15,993","±1,980","480","±204","1,917","±429","120","±71","345","±148","3,802","±1,099","647","±261","166,226","±6,945","1,356","±732","310,337","±8,960","14,727","±1,915","219","±159","5,224","±903","1,534","±495","2,752","±625","22,712","±2,550","2,497","±741","4,403","±1,132","9","±28","2,991","±650","26,296","±2,551","5,434","±860","353","±163","12,077","±1,580","4,371","±798","552","±236","2,541","±585","152","±103","1,525","±433"
"            Paraguayan","29,878","±2,224","150","±125","44","±69","228","±147","15","±29","1,803","±395","420","±224","590","±303","146","±154","295","±192","3,748","±1,129","670","±307","42","±60","78","±75","751","±403","72","±55","26","±39","272","±156","93","±68","152","±134","10","±15","1,212","±371","705","±290","376","±172","317","±170","69","±73","312","±174","0","±27","37","±42","181","±117","56","±65","3,532","±835","51","±59","5,783","±1,057","467","±173","25","±32","363","±179","37","±38","150","±127","1,065","±372","0","±35","46","±43","36","±61","245","±202","2,206","±794","461","±412","55","±55","1,338","±476","338","±122","63","±106","671","±381","76","±128","114","±136"
"            Peruvian","780,902","±13,756","2,515","±694","724","±317","8,451","±1,348","1,100","±513","121,168","±5,279","12,947","±1,941","24,738","±2,278","1,257","±394","2,688","±659","143,916","±4,997","15,830","±1,639","1,630","±546","3,399","±846","14,796","±1,877","4,124","±700","1,031","±332","2,184","±499","2,408","±662","1,623","±509","862","±297","27,271","±2,063","12,477","±1,655","3,859","±575","4,320","±815","1,539","±540","2,723","±665","530","±214","986","±322","7,320","±1,207","1,409","±490","98,473","±4,790","1,321","±362","82,554","±4,186","12,523","±1,596","352","±207","6,521","±966","2,698","±653","4,617","±897","13,735","±1,661","1,169","±336","3,601","±757","325","±179","4,650","±948","41,737","±3,649","16,303","±2,221","368","±143","44,504","±2,982","10,022","±1,198","1,239","±488","3,828","±782","537","±252","1,297","±314"
"            Uruguayan","77,438","±3,649","120","±108","34","±30","336","±150","193","±140","6,740","±1,178","548","±200","1,139","±363","96","±78","421","±224","20,047","±2,172","4,297","±868","128","±92","74","±71","1,241","±524","235","±140","50","±55","269","±153","50","±46","121","±89","54","±39","1,829","±757","3,010","±792","241","±133","755","±418","23","±32","200","±112","12","±21","137","±129","933","±451","191","±124","10,936","±1,462","87","±122","7,820","±1,264","1,579","±534","0","±24","521","±231","187","±121","544","±535","1,791","±555","81","±57","1,296","±441","17","±29","554","±380","3,601","±725","1,342","±462","188","±140","1,861","±463","618","±280","23","±31","868","±323","0","±30","221","±150"
"            Venezuelan","842,372","±15,468","3,460","±1,002","189","±142","4,386","±922","1,463","±693","28,158","±2,391","12,540","±1,727","6,996","±1,249","1,141","±624","1,879","±511","373,749","±10,718","36,923","±3,516","830","±291","971","±545","22,070","±2,202","12,727","±1,931","893","±293","2,483","±639","3,028","±724","2,310","±659","399","±287","8,188","±1,361","9,398","±1,389","5,285","±1,415","5,144","±1,154","1,161","±444","2,774","±673","473","±238","1,921","±1,062","2,755","±670","379","±195","21,642","±2,440","1,143","±351","29,589","±2,394","18,341","±2,189","282","±213","9,383","±1,288","6,174","±1,132","2,622","±730","10,518","±1,694","1,887","±704","8,612","±1,784","80","±63","14,175","±1,737","122,900","±7,689","15,794","±1,927","261","±118","12,940","±1,899","7,319","±1,300","387","±227","3,772","±776","478","±315","4,686","±960"
"            Other South American","34,091","±2,937","99","±75","3","±4","630","±411","77","±98","4,084","±771","494","±287","1,106","±378","21","±23","179","±166","5,326","±1,267","1,333","±681","50","±49","87","±69","974","±481","230","±170","116","±103","241","±163","94","±101","137","±112","20","±23","1,182","±478","1,892","±924","260","±162","348","±215","161","±168","87","±59","110","±88","36","±34","329","±166","89","±85","1,664","±514","123","±99","5,070","±932","1,110","±591","14","±19","225","±144","139","±88","228","±154","618","±206","52","±77","100","±82","0","±24","528","±477","2,154","±784","458","±355","3","±6","1,414","±496","221","±145","25","±41","64","±46","86","±114","12","±20"
"        Other Hispanic or Latino:","4,171,354","±34,088","21,600","±1,941","6,890","±1,002","132,924","±4,897","16,851","±1,486","701,145","±11,088","215,631","±6,396","38,574","±2,561","7,531","±943","8,082","±1,129","309,669","±8,060","65,970","±4,190","32,263","±1,776","23,739","±1,762","79,698","±3,058","33,053","±2,134","14,986","±1,200","22,939","±1,459","16,364","±1,325","62,813","±3,194","5,045","±732","65,770","±3,761","67,905","±3,358","46,588","±2,533","29,402","±1,981","12,275","±1,442","30,684","±1,921","9,640","±1,000","16,314","±1,531","55,735","±2,949","7,337","±1,044","126,781","±4,482","297,676","±7,351","273,267","±7,047","73,045","±3,977","4,732","±780","47,977","±2,660","34,464","±1,981","50,507","±3,007","79,679","±3,409","10,396","±1,339","31,362","±2,547","4,142","±688","39,116","±2,542","681,898","±14,526","46,016","±3,156","3,682","±496","82,264","±3,576","86,152","±3,743","6,735","±651","24,108","±1,710","9,938","±986","17,853","±1,327"
"            Spaniard","1,001,966","±15,984","5,223","±1,080","2,088","±607","36,325","±3,354","3,674","±793","174,216","±5,245","56,056","±3,058","8,140","±974","1,720","±467","3,258","±697","87,305","±3,707","14,047","±1,579","9,715","±1,361","6,828","±914","21,156","±1,810","7,815","±1,293","3,024","±681","6,138","±1,006","3,425","±619","11,848","±1,385","1,689","±309","12,918","±1,455","13,290","±1,458","10,384","±1,020","7,301","±1,072","2,860","±703","7,275","±952","3,169","±677","2,993","±451","14,131","±1,577","1,648","±413","36,051","±2,322","75,758","±4,237","57,412","±3,686","17,457","±1,342","1,579","±417","10,509","±1,371","10,815","±1,124","15,612","±1,552","18,095","±1,721","1,798","±521","7,650","±1,211","789","±246","7,491","±1,191","122,799","±5,650","15,133","±1,505","1,500","±362","20,537","±1,869","31,035","±2,281","1,365","±265","6,396","±990","2,526","±459","11,200","±1,078"
"            Spanish","957,350","±15,331","4,696","±677","2,639","±542","32,318","±2,404","4,549","±791","169,041","±5,146","67,139","±3,185","7,607","±1,100","2,298","±616","1,862","±490","55,806","±3,525","14,272","±1,529","18,296","±1,346","7,660","±1,027","17,153","±1,452","7,185","±927","3,139","±525","4,876","±846","4,627","±728","31,918","±1,945","1,747","±400","12,123","±1,411","13,414","±1,478","13,781","±1,486","7,029","±949","4,498","±799","10,514","±1,092","3,869","±678","3,626","±816","16,407","±1,734","2,933","±686","20,250","±1,802","89,836","±5,503","45,908","±2,895","15,187","±1,698","903","±285","14,617","±1,406","7,328","±734","16,496","±1,637","19,234","±1,513","2,392","±518","8,626","±1,359","1,296","±407","9,808","±1,302","86,466","±4,177","14,518","±1,619","1,312","±230","16,942","±1,664","26,480","±1,866","2,287","±429","6,777","±720","3,665","±707","82","±76"
"            Spanish American","29,328","±2,305","309","±150","24","±38","622","±288","204","±173","4,556","±757","3,624","±644","279","±169","34","±50","0","±35","1,326","±528","421","±194","292","±239","148","±158","318","±143","245","±197","64","±61","170","±129","40","±50","590","±272","14","±17","335","±219","204","±118","528","±320","90","±73","56","±58","77","±76","146","±89","277","±342","398","±169","99","±99","689","±356","5,525","±1,030","1,325","±539","259","±158","0","±24","400","±243","244","±140","271","±168","171","±72","0","±35","200","±216","22","±35","383","±312","2,557","±895","262","±151","0","±24","694","±381","419","±207","58","±74","52","±47","307","±216","29","±49"
"            All other Hispanic or Latino","2,182,710","±22,123","11,372","±1,333","2,139","±491","63,659","±3,841","8,424","±1,093","353,332","±8,895","88,812","±4,887","22,548","±2,030","3,479","±652","2,962","±750","165,232","±5,873","37,230","±3,537","3,960","±519","9,103","±1,289","41,071","±2,928","17,808","±1,641","8,759","±1,035","11,755","±1,124","8,272","±920","18,457","±2,128","1,595","±440","40,394","±2,864","40,997","±3,093","21,895","±1,720","14,982","±1,651","4,861","±824","12,818","±1,081","2,456","±523","9,418","±1,327","24,799","±1,956","2,657","±696","69,791","±3,494","126,557","±5,241","168,622","±5,460","40,142","±2,937","2,250","±618","22,451","±1,459","16,077","±1,349","18,128","±2,152","42,179","±2,747","6,206","±1,005","14,886","±1,600","2,035","±526","21,434","±1,997","470,076","±12,828","16,103","±1,852","870","±224","44,091","±3,162","28,218","±2,312","3,025","±406","10,883","±1,224","3,440","±626","6,542","±744"
